序号,中文,英文,阿语,土耳其,印尼语,俄语,韩语,葡萄牙语,泰语,西班牙语,印地语,越南语 ,乌尔都语
注册登录,使用Facebook登陆,Connect with Facebook,Connect with Facebook,Connect with Facebook,Connect with Facebook,Connect with Facebook,Connect with Facebook,Connect with Facebook,Connect with Facebook,Connect with Facebook,Connect with Facebook,Connect with Facebook,Connect with Facebook
,使用Apple账号登陆,Sign in with Apple,Sign in with Apple,Sign in with Apple,Sign in with Apple,Sign in with Apple,Sign in with Apple,Sign in with Apple,Sign in with Apple,Sign in with Apple,Sign in with Apple,Sign in with Apple,Sign in with Apple
,使用Google账号登陆,Connect with Google,Connect with Google,Connect with Google,Connect with Google,Connect with Google,Connect with Google,Connect with Google,Connect with Google,Connect with Google,Connect with Google,Connect with Google,Connect with Google
,使用微信账号登陆,Connect with WeChat,Connect with WeChat,Connect with WeChat,Connect with WeChat,Connect with WeChat,Connect with WeChat,Connect with WeChat,Connect with WeChat,Connect with WeChat,Connect with WeChat,Connect with WeChat,Connect with WeChat
,欢迎来到Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!,Welcome to Hilo!
,昵称,Nickname, إسم الكنية,Kullanıcı Adı,Nama panggilan,Ник,닉네임,Apelido,ชื่อเล่น,Sobrenombre,उपयोगकर्ता नाम,Tên,عرفی نام
,生日,Birthday,عيد الميلاد,Doğum Tarihi,Ulang tahun,Дата рождения,생일,Aniversário,วันเกิด,Fecha del nacimiento,जन्मदिन,Ngày sinh,سالگرہ
,确定,Confirm,تأكيد,Onayla,Konfirmasikan,Да ,확인,Confirme,ยืนยัน,Confirmar ,पुष्टि करें,Xác nhận,تصدیق کریں
,取消,Cancel,إلغاء,İptal,Batalkan,Нет,취소,Cancelar,ยกเลิก,Cancelar,रद्द करें,Hủy,منسوخ کریں 
,男,Male,الذكر,Erkek,Laki-laki,Мужчина,남,Masculino,ชาย,Hombre,पुरुष,Nam,مرد
,女,Female,أنثى,Kadın,Perempuan,Женщина,녀,Fêmea,หญิง,Mujer,महिला,Nữ,عورت
,确定,Next,تأكيد,İleri,Selanjutnya,Да ,확인,Próximo,ยืนยัน,Siguiente,पुष्टि करें,Xác nhận,اگلا
,注册后性别、生日不能再修改,Only one chance to set gender and birthday,فرصة واحدة فقط لتحديد الجنس وعيد الميلاد، ولا يمكن التغيير مرة اخرى,Cinsiyeti ve doğum tarihini sadece bir kez seçebilirsiniz.,Hanya satu kesempatan untuk mengatur jenis kelamin dan ulang tahun,После регистрации невозможно изменить пол и дату рождения. ,로그인 후 성별、생일 수정 못함,Apenas uma chance de definir sexo e aniversário,เพศและวันเกิดไม่สามารถแก้ไขได้หลังจากลงทะเบียน,El género y la fecha del nacimiento no se pueden modificar después del registro. ,लिंग और जन्मदिन सेट करने का केवल एक मौका,"Đăng ký sau không thể sửa giới tính, ngày sinh",اندراج کے بعد جنس اور سالگرہ میں ترمیم نہیں کی جاسکتی ہے
,注册后生日不能再修改,Only one chance to set birthday,فرصة واحدة فقط لتعيين عيد ميلاد، ولا يمكن التغيير مرة اخرى,Doğum tarihini sadece bir kez seçebilirsiniz.,Hanya satu kesempatan untuk mengatur ulang tahun,После регистрации невозможно изменить дату рождения. ,로그인 후 생일 수정 못함,Apenas uma chance de definir aniversário,วันเกิดไม่สามารถแก้ไขได้หลังจากลงทะเบียน,La fecha del nacimiento no se puede modificar después de registro.,जन्मदिन सेट करने का केवल एक मौका,Đăng ký sau không thể sửa ngày sinh,اندراج کے بعد سالگرہ میں ترمیم نہیں کی جا سکتی
,请输入你的昵称,Please enter your nickname,الرجاء إدخال اسم الكنية الخاص بك ,Lütfen kullanıcı adınızı girin.,Silakan masukkan nama panggilan Anda,Вводить твой ник ,닉네임 작성하세요,Digite seu apelido,กรุณากรอกชื่อเล่นของคุณ,Introduce tu sobrenombre,कृपया अपना उपनाम दर्ज करें,Hãy nhập tên của bạn,براہ میربانی اپنا عرفی نام شامل کریں
,请输入你的签名,Please enter your signature,يرجى إدخال توقيعك,Lütfen imzanızı girin.,Silakan masukkan tanda tangan Anda,Вводить твою подпись ,상태메세지 작성하세요,Digite sua assinatura,กรุณาใส่ลายเซ็นของคุณ,Introduce tu biografía,कृपया अपना हस्ताक्षर दर्ज करें,Hãy nhập tình trạng của bạn,براہ مہربانی اپنے دستخط شامل کریں
,不同意并退出,Disagree and log out,لا أوافق وقم بتسجيل الخروج,Onaylamadan çıkış yap,Tidak setuju dan keluar,Не согласиться и выйти. ,동의하지 않고 나감 ,Discordo e saia,ไม่เห็นด้วยและออก,No estoy de acuerdo y salgo,असहमत हैं और लॉग आउट करें,Không đồng ý và đăng xuất,متفق نہ ہوں اور باہر نکلیں 
,同意,Agree,يوافق على,Onaylıyorum,Setuju,Согласиться ,동의,Concordo,ยืนยัน,De acuerdo,इस बात से सहमत,Đồng ý,متفق ہوں
,社区指导,Community Guideline,دليل المجتمع,Topluluk Kuralları,Pedoman Komunitas,Руководство общества  ,카페 가이드,Diretriz da Comunidade,คำแนะนำของชุมชน,Orientación comunitaria,सामुदायिक दिशानिर्देश,Hướng dẫn cộng đồng,سماجی ہدایت نامہ
,"为了建立一个安全和友善的Hilo社区，以下行为被禁止：

-色情 
-暴力 
-欺凌和仇恨言论 
-任何违法行为

如果有任何违反行为，您可以通过举报用户的方式通知我们，违反者将被封禁。

我们重视您的隐私和个人信息，您在点击同意下列协议前，请务必审慎阅读，并充分理解协议条款内容。","In order to establish a civilized and friendly community environment, the following actions are prohibited: 

-Pornography 
-Violence 
-Bullying and hate speech 
-Any illegal behavior

If there is any violation, you can notify us by reporting the user, and the violator will be banned.

We value your privacy and personal information. Before you click to agree to the following agreement, please read it carefully and fully understand the terms of the agreement.","
:من أجل تهيئة بيئة مجتمعية متحضرة وودية ، تحظر الأفعال التالية

الاباحية-\n
 العنف-\n
التنمر والكلام الكراهية-\n
أي سلوك غير قانوني-\n

.إذا كان هناك أي انتهاك ، يمكنك إخطارنا عن طريق الإبلاغ عن المستخدم ، وسيتم حظر الشخص المخال\n

.نحن نقدر خصوصيتك ومعلوماتك الشخصية، قبل النقر للموافقة على الاتفاقية التالية ، يرجى قراءتها بعناية وفهم شروط الاتفاقية بالكامل\n","Kültürlü ve arkadaşça bir topluluk ortamı yaratabilmek için aşağıdaki eylemler yasaklanmıştır:

\n-Pornografi
\n-Şiddet
\n-Tehdit ve Nefret Söylemi
\n-Tüm Yasadışı Davranışlar

\nKuralların ihlali durumunda kullanıcıyı şikayet ederek bizi bilgilendirebilirsiniz. Kuralları ihlal eden kişi engellenecektir. 

\nGizliliğinize ve kişisel bilgilerinize önem veriyoruz. Aşağıdaki anlaşmayı onaylamadan önce lütfen dikkatlice okuyun ve anlaşmanın koşullarını anladığınızdan emin olun. ","Untuk membangun lingkungan masyarakat yang beradab dan ramah,tindakan berikut ini dilarang:

\n-Pornografi 
\n-Kekerasan 
\n-Keras dan benci ucapan 
\n-Setiap perilaku ilegal.

\nJika ada pelanggaran, Anda dapat memberi tahu kami dengan melaporkan pengguna, dan pelanggar akan diblokir.

\nKami menghargai privasi dan informasi pribadi Anda. Sebelum Anda mengklik untuk menyetujui perjanjian berikut, harap baca dengan seksama dan sepenuhnya memahami ketentuan perjanjian. ","Для того, чтобы создать безопасное и дружественное общество Hilo, нижеследующие действия были запрещены: 
\n-Порнография;
\n-Грубая сила;
\n-Ругань и агрессивная речь;
\n-Любые действия, нарушившие закон. 
\nЕсли существует любое действие, нарушившее закон, то вы можете подать нам жалобу на лицо дела, лицо, нарушившее закон, будет блокировано.  
\nМы обращаем внимание на ваш личный секрет и данные, перед нажатием на «Согласиться», внимательно читайте условия соглашения. 
","안전하고 친근한 Hilo 카페를 만들기 위해 , 아래 행동은 금지:   
\n-외설 
\n-폭력
\n-괴롭힘과 증오의 언론
\n-어떤 위법 행위
\n만약 어떠한 위반행위가 있다면, 당신은 가입자를 신고하는 방식으로 우리들에게 통지할 수 있음,위반자는 봉쇄될 것임.
\n우리는 당신의 사생활과 개인정보를 중시하므로, 당신은 클릭해서 아래의 협의에 동의하기 전에 반드시 계약 내용을 신중하게 읽고 충분히 이해해야 함.","Para estabelecer um ambiente comunitário civilizado e amigável, as seguintes ações são proibidas:                                                                                                                                                                                                \n-pornográfico                                                                                                  \n-Violência                                                                                                        \n-Intimidação e discurso de ódio                                                                     \n-Qualquer comportamento ilegal                                                                                                                                                                                         \nSe houver alguma violação, você pode nos notificar denunciando o usuário e o infrator será banido.                                                                                                                                                                                           \nValorizamos sua privacidade e informações pessoais. Antes de clicar para concordar com o acordo a seguir, leia-o com atenção e compreenda completamente os termos do acordo.","เพื่อสร้างชุมชน Hilo ที่ปลอดภัยและเป็นมิตร ห้ามมีการกระทำดังต่อไปนี้
\n-สื่อลามก
\n-ความรุนแรง
\n-คำพูดข่มขู่และเกลียดชัง
\n-การกระทำใด ๆ ที่ผิดกฎหมาย
\nคุณสามารถแจ้งให้เราทราบด้วยวิธีรายงานผู้ใช้ หากมีการละเมิดใด ๆ  และผู้ฝ่าฝืนจะถูกระงับ
\nเราให้ความสำคัญกับข้อมูลความลับและข้อมูลเป็นส่วนตัวของคุณ โปรดอ่านอย่างละเอียดและเข้าใจข้อกำหนดของข้อตกลงนี้ก่อนที่คุณจะคลิกเพื่อยอมรับข้อตกลงดังต่อไปนี้ 
","Para construir la comunidad Hilo segura y amigable, las siguientes acciones están prohibidas:
\n-Pornográfico
\n-Violento
\n-Acoso y discurso de odio
\n-Cualquier acto ilegal
\nSi hay alguno acto ilegal, puede notificarnos a través de denunciar al usuario, y el infractor será bloqueado.
\nValoramos su privacidad e información personal. Antes de hacer clic para aceptar el siguiente acuerdo, léalo detenidamente y comprenda completamente  los términos del acuerdo.
","एक सभ्य और मैत्रीपूर्ण सामुदायिक Hilo वातावरण स्थापित करने के लिए, निम्नलिखित चाल-चलन निषिद्ध हैं:
\n-पोर्नोग्राफी
\n-हिंसा
\n-धमकाना और अभद्र भाषा
\n-कोई भी अवैध व्यवहार
\nयदि कोई उल्लंघन होता है, तो आप उपयोगकर्ता को रिपोर्ट कर हमें सूचित कर सकते हैं, और उल्लंघनकर्ता को प्रतिबंधित कर दिया जाएगा।
\nहम आपकी गोपनीयता और व्यक्तिगत जानकारी का महत्व देते हैं। इससे पहले कि आप निम्नलिखित समझौते पर सहमत होने के लिए क्लिक करें, कृपया इसे ध्यान से पढ़ें और समझौते की शर्तों को पूरी तरह से समझें।
","Để sáng lập một cộng đồng Hilo an toàn và hữu nghị, cấm các hành vi sau:                                                                                                                                             \n- Nội dung khiêu dâm                                                                                                                                              \n- Nội dung bạo lực                                                                                                                                          \n- Lời nói  hiếp đáp và căm ghét                                                                                                                                           \n- Bất cứ hành vi trái pháp luật nào                                                                                              \nNếu có bất cứ hành vi trái phép nào, bạn có thể thông báo cho chúng tôi bằng cách báo cáo người dùng, người dùng có hành vi vi phạm sẽ bị cấm.                                                                                                                                                     \nChúng tôi coi trọng bảo hộ quyền riêng tư và thông tin cá nhân của bạn, trước khi bạn bấm đồng ý hiệp nghị sau đây, Hãy chắc chắn đọc cẩn thận và hiểu đầy đủ các nội dung điều lệ trong hiệp nghị.","""ایک محفوظ اور دوستانہ Hiloسوسائٹی کی تعمیر کے لئے  درج ذیل اقدامات ممنوع ہیں:
\n-فحاشی
\n-تشدد
\n-دھونس اور نفرت انگیز تقریر
\n-کوئی غیر قانونی سلوک
\nکسی قسم کی خلاف ورزی کی صورت میں آپ ہمیں صارف کے بارے میں ہمیں اطلاع دے کر مطلع کرسکتے ہیں، اور خلاف ورزی کرنے والے کو مسدود کردیا جائے گا۔
\nہم آپ کی رازداری اور ذاتی معلومات کی قدر کرتے ہیں۔ اس سے پہلے کہ آپ درج ذیل معاہدے سے اتفاق کرنے کے لئے کلک کریں ، براہ مہربانی پہلے اسے غور سے پڑھیں اور معاہدے کی شرائط کو پوری طرح سمجھ لیں۔"
,《服务协议》,Service Agreement,اتفاقية الخدمة,Hizmet Anlaşması,Layanan Perjanjian,"""Соглашение об обслуживании""",서비스계약,Acordo de serviço,"""ข้อตกลงการให้บริการ""",Términos del Servicio,परिसेवा अनुबंध,Hiệp nghị dịch vụ,خدمت ک معاہدہ
,《隐私政策》,Privacy Policy,سياسة الخصوصية,Gizlilik Politikası,Kebijakan Privasi,"""Политика конфиденциальности""",개인정보 정책,Política de Privacidade,นโยบายความเป็นส่วนตัว,Politíca de Privacidad,गोपनीयता नीति,Chính sách bảo mật,رازداری کی پالیسی
,您的系统消息通知处于关闭状态，是否前往设置,"Your system message notification is off, whether go to settings?",تم إيقاف إشعار رسالة النظام ، هل تريد الانتقال إلى الإعدادات؟,"Sistem mesajı bildirimleriniz kapalı, ayarlara gidilsin mi?","Pemberitahuan pesan sistem Anda tidak aktif, apakah pergi ke sittings?","У вас функция получения системных сообщений была закрыта, ли пойти установить? ",시스템 메시지 알림이 꺼져 있으며 설정으로 이동할지 여부,"A notificação de mensagens do sistema está desativada, vá para as configurações?",การแจ้งเตือนข้อความระบบของคุณปิดอยู่ ไปตั้งค่าหรือไม่,"La notificación de mensaje del sistema está desactivada, si ir a la configuración?","आपका सिस्टम संदेश अधिसूचना बंद है, सेटिंग्स पर जाना चाहते चाहेंगे","Thông báo tin nhắn hệ thống của bạn đang ở trạng thái tắt, có cài đặt không",آپ کے نظام کا پیغام کی اطلاع جاری ہے ، چاہے ترتیبات پر جائیں؟
,操作成功,Succeed,تم العملية,İşlem başarılı,Tindakan berhasil,Операция удачна. ,성공,bem sucedida,การดำเนินการสำเร็จ,Operación exitosa,ऑपरेशन सफलतापूर्वक हुआ,Thao tác thành công,عمل کامیاب ہوا
,操作失败,Fail,فشل في العملية,İşlem başarısız,Tindakan gagal,Операция не получилась. ,실패 ,falhou,การดำเนินการล้มเหลว,Operación fallida,ऑपरेशन विफल हुआ,Thao tác thất bại,عمل ناکام ہوا
,照片,Photo,صورة,Fotoğraf,Foto,Фотография ,사진,Foto,ภาพถ่าย,Foto,तस्वीर,Hình ảnh,تصویر
权限获取,需要权限,Permission Required,مطلوب إذونات,İzin Gerekli,Diperlukan Izin,Нужно право ,권한 필요,Precisa de permissão,ต้องได้รับอนุญาต,Permiso Requerido,अनुमति आवश्यक है,Phải có quyền hạn,اجازت کی ضرورت ہے
,为了让您享受视频聊天的乐趣，需要您授予以下所有权限,"In order to enjoy video chat,you need to grant all the permissions.",للاستمتاع بمحادثة الفيديو ، تحتاج إلى منح جميع الأذونات,Görüntülü sohbeti kullanabilmeniz için tüm izinleri vermeniz gerekli.,"Untuk menikmati obrolan video, Anda harus memberikan semua izin.","Для того, чтобы вы пользуетесь удобством видеочата, вы должны предоставить права использования нижеследующих: ",영상 통화를 즐기기 위해 이하 권한 수여해야 함 ,"Para aproveitar o bate-papo por vídeo, você precisa conceder todas as permissões.",ต้องการคุณอนุญาตสิทธิ์ทั้งหมดต่อไปนี้ เพื่อให้คุณสนุกกับวิดีโอแชท ,"Para que disfrutes de la diversión de videollamadas, debe otorgar todos los siguientes permisos.
","वीडियो चैट का आनंद लेने के लिए, आपको सभी अनुमतियां देने की आवश्यकता है।","Để thưởng thức  trò chuyện video, bạn cần cấp tất cả các quyền hạn sau",آپ کو ویڈیو چیٹ کی تفریح سے لطف اندوز ہونے کے لئیے مندرجہ ذیل تمام اجازتیں دینا درکار  ہیں
,摄像头,Camera,كاميرا,Kamera,Kamera,Видеокамера,캠,Câmera,กล้อง,Cámara,कैमरा,Camera,کیمرہ
,麦克风,Microphone,ميكروفون,Mikrofon,Mikrofon,Микрофон,마이크,Microfone,ไมโครโฟน,Micrófono,माइक्रोफ़ोन,Micrô,مائیکروفون
,消息通知,Notification,إشعار,Bildirimler,Pemberitahuan,Сообщение ,메세지 알림,Notificação,การแจ้งเตือนข้อความ,Notificación,संदेश की सूचना,Thông báo tin nhắn ,اطلاع
,位置,Position,الموقع,Konum,Posisi,Местонахождение,위치,Posição,ตำแหน่ง,Localización,स्थान,Vị trí,سمت
,允许,Allow,السماح,Onayla,Izinkan,Разрешить ,허락,Permitir,อนุญาต,Permitir,अनुमति दें,Cho phép,اجازت دیں
,授权失败,Authorization failure,فشل في التفويض,Yetkilendirme hatası,Otorisasi berhasil,Предоставление права не получилось.,권한 부여 실패 ,Falha na autorização,มอบอำนาจล้มเหลว,Autorización  fallida,प्राधिकरण में विफलता,Ủy quyền thất bại,منظوی میں ناکامی
,用户禁止应用内付费购买,Prohibit in-app purchases,منع المستخدم الشراء في التطبيق,Uygulama içi satın alım yasak,Melarang pembelian dalam aplikasi,Пользователь запрещает платить за покупку в процессе применения. ,사용자가 앱에 돈으로 지급 금지,Proibir compras no aplicativo,ผู้ใช้กูกระงับการซื้อในแอป,Los usuarios tienen prohibido pagar compras en la aplicación.,इन-ऐप खरीदारी को प्रतिबंधित करें,Người dùng cấm mua trong ứng dụng,صارفین کو ایپ کی ادایٔیگیوں سے منع کریں 
,前往设置,Go to settings,اذهب للاعدادات,Ayarlara Git,Pergi ke sittings,Пойти установить ,세팅 가기 ,Vá para as configurações,ไปตั้งค่า,Ir a la configuración,सेटिंग्स में जाएं,Đi cài đặt ngay,ترتیبات میں جائیں
